feature_column,feature_group
pre_GP,main_efficiency
pre_minutes_percentage,main_efficiency
pre_TS_pct,main_efficiency
pre_ORB_pct,main_efficiency
pre_DRB_pct,main_efficiency
pre_AST_pct,main_efficiency
pre_TOV_pct,main_efficiency
pre_FT_pct,main_efficiency
pre_2P_pct,main_efficiency
pre_3P_pct,main_efficiency
pre_Blk_pct,main_efficiency
pre_Stl_pct,main_efficiency
pre_FTR,main_efficiency
pre_personal_fouls_per_40,main_efficiency
pre_AST_TOV,main_efficiency
pre_rim_pct,main_efficiency
pre_mid_pct,main_efficiency
pre_dunk_pct,main_efficiency
pre_usg,main_efficiency
pre_eFG,main_efficiency
pre_stops_per_40,main_efficiency
pre_three_per_100_team_possessions,main_efficiency
pre_games_started_pct,main_efficiency
pre_three_fg_pct,main_efficiency
pre_mid_fg_pct,main_efficiency
pre_dunk_fg_pct,main_efficiency
pre_rim_fg_pct,main_efficiency
pre_rim_attempt_share,main_efficiency
pre_mid_attempt_share,main_efficiency
pre_three_attempt_share,main_efficiency
pre_dunk_attempt_share,main_efficiency
pre_rim_assisted_rate,main_efficiency
pre_mid_assisted_rate,main_efficiency
pre_three_assisted_rate,main_efficiency
pre_dunk_assisted_rate,main_efficiency
pre_overall_assisted_fg_rate,main_efficiency
pre_ORtg,impact
pre_PORPAG,impact
pre_adjoe,impact
pre_drtg,impact
pre_adj_drtg,impact
pre_D_PORPAG,impact
pre_bpm,impact
pre_obpm,impact
pre_dbpm,impact
pre_gbpm,impact
pre_ogbpm,impact
pre_dgbpm,impact
pre_class_year_num,player_context
pre_height_inches_standardized,player_context
conference_feature_season,conference_context
origin_conf_barthag,conference_context
destination_conf_barthag_same_year,conference_context
conf_barthag_delta_same_year,conference_context
origin_conf_adj_oe,conference_context
destination_conf_adj_oe_same_year,conference_context
conf_adj_oe_delta_same_year,conference_context
origin_conf_adj_de,conference_context
destination_conf_adj_de_same_year,conference_context
conf_adj_de_delta_same_year,conference_context
origin_conf_adj_t,conference_context
destination_conf_adj_t_same_year,conference_context
conf_adj_t_delta_same_year,conference_context
pre_A0,archetype
pre_A1,archetype
pre_A2,archetype
pre_A3,archetype
pre_A4,archetype
pre_A5,archetype
pre_A6,archetype
pre_A7,archetype
pre_archetype_reconstruction_error,archetype
pre_archetype_entropy,archetype
pre_archetype_max_membership,archetype
pre_archetype_primary_weight,archetype
pre_archetype_secondary_weight,archetype
pre_archetype_tertiary_weight,archetype
pre_archetype_primary_gap,archetype
pre_archetype_secondary_gap,archetype
pre_archetype_top2_sum,archetype
pre_archetype_top3_sum,archetype
pre_archetype_effective_count,archetype
pre_production_archetype_input_complete,archetype
pre_production_archetype_projection_success,archetype
pre_previously_had_archetype,archetype
pre_needs_new_archetype_projection,archetype
pre_archetype_is_clear_primary,archetype
pre_archetype_is_dual,archetype
pre_archetype_is_blended,archetype
